;Tiempo (µs);;;;;;;;;;;;;;;;;
;MM_transpuesta;;;;;;;;;;;;;;;;;
Tamaño Matriz;100;;;250;;;500;;;1000;;;2000;;;5000;;
Numero Hilos;1;2;4;1;2;4;1;2;4;1;2;4;1;2;4;1;2;4
Medida 1;69986;376691;605979;162718;236240;389588;1289451;1151106;572667;4407017;2877803;1176163;32051000;16461846;9094777;496016903;252460364;125529382
Medida 2;85380;383744;614491;232700;282111;411787;807787;408062;702434;4388315;2878134;1162454;32778328;16285147;9327319;494384666;250030731;129241019
Medida 3;96030;390244;621035;303586;325679;436026;1305708;656347;842690;4316247;3004262;1135974;33152337;16024621;9564775;506016922;262460187;135529278
Medida 4;110411;396359;627747;372380;364559;463787;817249;902712;979215;4215645;2190486;1180076;33108467;16619484;8933542;484384688;240030865;139241042
Medida 5;120151;402739;633785;444102;403324;488954;1373627;1151011;1115960;4130129;2115739;1218491;32010343;17255907;9200770;493016941;242460427;115529355
Medida 6;130068;410320;639998;517563;439385;518134;865134;428217;250230;4118579;2125755;1246030;32094565;15829447;8980673;494384693;250030901;129241127
Medida 7;140811;418366;647867;587723;477545;547405;1346472;688418;390641;4295420;2077394;1245336;31661918;17803647;8899156;499016924;252460612;135529290
Medida 8;151180;425734;654122;654640;516716;578849;825726;941746;531823;4521794;2031567;1304469;32344575;16535128;9162988;504384675;259160502;139241023
Medida 9;163152;432545;660871;721035;553888;606085;1309599;1193098;664854;4489416;2057654;1296871;31576529;16989350;8184439;497016896;249430108;125529342
Medida 10;173435;448400;669877;792772;593755;628581;804620;441729;813346;4679615;2067843;1291999;31678410;16189627;8594840;494384679;250030597;129241026
Medida 11;185851;456448;677536;860806;632137;651111;1286604;692963;953398;4635454;2066022;1296134;32093459;16664682;9313751;501016905;252460719;125529380
Medida 12;195559;463099;683849;929680;667976;677658;751057;935952;1091120;4864040;2056345;1298873;31864097;17319510;8464207;494384692;240030982;129241025
Medida 13;206072;469446;690527;997842;704950;701347;1228491;1187531;229443;4749009;2102159;1302863;31943461;16431466;8598684;501016905;250030576;125529389
Medida 14;216457;475534;697404;69973;743337;722569;698767;433594;378572;4650409;2227353;1337747;32216271;16046903;8658019;494384694;239260611;129241021
Medida 15;227285;481840;703762;137559;781348;745685;1183653;676406;517710;4481079;2200410;1310237;31461519;17547967;9360753;497016911;252460879;125529377
Medida 16;236472;488691;709735;205093;818677;768871;683960;922536;695518;4517321;2204952;1290908;31470426;16880916;9079069;494384669;250030985;129241019
Medida 17;247954;496164;717548;272599;857012;798236;1174449;1176774;849877;4498235;2477744;1267350;31609320;16864043;8410938;493016903;242460284;115529316
Medida 18;258232;506272;723540;348214;895417;827563;722830;430357;982200;4529183;2409400;1232861;32963659;16632168;8727721;494384669;239260830;119241095
Medida 19;268227;513687;730342;427791;931822;852872;1208381;694358;1119426;4708481;2441520;1194456;31661683;16303781;9578126;501016904;262460482;135529294
Medida 20;277540;520033;736161;500623;971520;883400;689378;955368;258992;4770687;2403603;1229132;31775597;16853045;9078529;494384682;250030976;139241022
Medida 21;286479;527039;743430;572976;1013517;908072;1181971;1216480;384909;4812000;2472750;1380246;32593405;17790676;8937115;493016910;252460614;115529345
Medida 22;295805;534445;749648;642858;60277;931287;682938;467304;513718;4901740;2543402;1477315;31678467;17671982;9880079;494384673;239260655;119241084
Medida 23;305743;542195;756268;709708;100968;954056;1177883;717787;649436;4951505;2578305;1540320;32116952;16986683;9875370;499016896;249430119;135529290
Medida 24;314962;548853;762712;780354;138954;980687;796460;962964;779329;5127750;2820677;1687148;31303988;15991958;9280746;484384678;239260609;139241030
Medida 25;323892;556072;769028;846934;175675;1003479;1350949;1215218;910604;4105479;2836469;1666694;31617686;16381284;8319601;493016914;242460398;115529334
Medida 26;332702;564572;775569;917910;214145;27959;881800;474647;1043050;4175856;2860072;1669018;31705803;16915668;8362234;504384688;259160492;119241107
Medida 27;341606;573350;782240;985970;251983;54182;1416790;718351;172750;4198418;2863781;1664574;31971294;16655565;8700597;501016900;242460490;135529284
Medida 28;350349;581203;788539;1054231;289543;78724;903434;958313;320309;4094514;2868183;1644706;31449202;16664682;8797289;497016897;250030923;139241014
Medida 29;360585;589648;794504;123565;326582;100881;1385211;1202997;454274;3925530;2827483;1649811;32008930;17319510;9281458;484384677;262460587;115529302
Medida 30;369625;598419;800732;192891;366453;124788;867652;445269;577896;4881034;3193059;1646158;30543340;16431466;8621152;501016904;240030903;119241087
Promedio;228066,7;485738,4;705628,2;545559,8667;504516,5;595420,7667;1033934,367;814920,5;658213,0333;4504663,367;2462677,533;1368147,133;31950167,7;16744938,63;8975623,9;495988535,3;248801946,9;127718523,3
